symptom_keywords,medicine_name,dosage,home_remedy,side_effects
Treatment of Bacterial infections,Sporidex Redimix Drop Orange,As directed by physician,,Abdominal pain Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
Treatment of Overactive bladder (OAB) symptoms,Solikem 5 Tablet,As directed by physician,,Dryness in mouth Constipation Blurred vision Nausea Upset stomach Urinary tract infection
Treatment of Sneezing and runny nose due to allergies,Spiroflut Nasal Spray,As directed by physician,,Nasal inflammation Headache Nosebleeds Nasal ulceration Breathlessness
Treatment of SchizophreniaTreatment of Mania,Sizodon MD 1 Tablet,As directed by physician,,Headache Insomnia difficulty in sleeping Parkinsonism Drowsiness Sedation
Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Sterio 4mg Tablet,As directed by physician,,Thinning of skin Increased risk of infection Reduction in bone density Weight gain Mood changes Upset stomach Behavioral changes
 Chronic obstructive pulmonary disease (COPD)Treatment of Asthma,Salbair 100mcg Transcaps,As directed by physician,,Accidental injury Bronchitis inflammation of the airways Dizziness Pain Pharyngitis Nasal congestion stuffy nose Vomiting Chest pain Palpitations Sore throat Tremors
Treatment of Dry eyes,Soha Liquigel,As directed by physician,Limited data available,
 Bleeding,Sepgard Solution,As directed by physician,Application site irritation,
Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Somazina 500mg Tablet,As directed by physician,,Decreased blood pressure Arrhythmia irregular heartbeats Stomach pain Diarrhea Insomnia difficulty in sleeping Rash Peripheral neuropathy tingling and numbness of feet and hand
Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Sertagress 50mg Tablet,As directed by physician,,Delayed ejaculation Erectile dysfunction Indigestion Insomnia difficulty in sleeping Low sexual desire Nausea Tremors Diarrhea Increased sweating Loss of appetite Sleepiness Taste change
 Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,Sandimmun Neoral 50mg Soft Gelatin Capsule,As directed by physician,,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
Treatment of Allergic conditions,Sizon 5 Tablet,As directed by physician,,Nausea Muscle pain Edema swelling Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
Treatment of IndigestionTreatment of Alkalinizing agentTreatment of Metabolic acidosis,Sodicarb Tablet,As directed by physician,,Increased sodium level in blood Brain swelling Alkalosis Decreased potassium level in blood
Treatment of Hypertension (high blood pressure),Supermet-AM Tablet PR,As directed by physician,,Nausea Slow heart rate Abdominal pain Dizziness Fatigue Sleepiness Ankle swelling Constipation Edema swelling Flushing sense of warmth in the face ears neck and trunk Palpitations Headache Vomiting Visual disturbance Orthostatic hypotension sudden lowering of blood pressure on standing Breathlessness Muscle cramp
 Schizophrenia,Solian 100mg Tablet,As directed by physician,,Nausea Vomiting Dryness in mouth Constipation Weight gain Decreased blood pressure Dystonia involuntary muscle contractions Akathisia inability to stay still Parkinsonism Increased prolactin level in blood
 Sneezing and runny nose due to allergies,Spiroflut A Nasal Spray,As directed by physician,,Taste change Nosebleeds Headache
Treatment of Allergic conditions Appetite stimulant,Step-UP Oral Drops,As directed by physician,,Dizziness Headache
Treatment of Chronic obstructive pulmonary disease (COPD),Seroflo 50 Inhaler,As directed by physician,,Headache Cough Upper respiratory tract infection Nasopharyngitis inflammation of the throat and nasal passages Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change
Treatment of Fungal skin infectionsTreatment of Fungal infections,Setrabet 2% Cream,As directed by physician,,Application site reactions burning irritation itching and redness Skin irritation
Treatment of Liver  disease,S-Methiwave 200 Tablet,As directed by physician,,Nausea Diarrhea Upset stomach Constipation Dizziness
 Schizophrenia,Skizoril 100mg Tablet,As directed by physician,,Dizziness Fainting Constipation Fever Weight gain Decreased white blood cell count Extrapyramidal symptoms Increased liver enzymes Drowsiness Seizure Increased white blood cell count eosinophils Anticholinergic effects Tachycardia Excessive salivation
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,S-Celepra 5 Tablet,As directed by physician,,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
 Dry cough,Sudin D Syrup,As directed by physician,,Upset stomach Stomach pain epigastric pain Sleepiness Dizziness Impaired coordination Thickened respiratory tract secretions
 Pain relief,Subsyde-CR Capsule,As directed by physician,,Edema swelling Nausea Headache Dizziness Vomiting Itching Flatulence Indigestion Pain in extremities
Treatment of Common cold,Solvin Decongestant Syrup Sugar Free,As directed by physician,,Nausea Vomiting Diarrhea Dizziness Headache Sweating Itching Upper abdominal pain Rash Urticaria Changes in serum aminotransferase levels
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Seloken XL 100mg Tablet,As directed by physician,,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
Treatment of Sneezing and runny nose due to allergies,Spiromont-F 180 Tablet,As directed by physician,,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Treatment of SchizophreniaTreatment of Mania,Sizodon 4 Tablet,As directed by physician,,Headache Insomnia difficulty in sleeping Parkinsonism Drowsiness Sedation
Treatment of EczemaTreatment of Psoriasis,Salobet Ointment,As directed by physician,,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
 Osteoarthritis,Synoflex Tablet,As directed by physician,,Nausea Diarrhea Constipation Indigestion Heartburn Urine discoloration
 Acute migraine headache,Suminat 100 Tablet,As directed by physician,,Dizziness Weakness Flushing sense of warmth in the face ears neck and trunk Drowsiness Peripheral neuropathy tingling and numbness of feet and hand
Treatment of DepressionTreatment of Post traumatic stress disorderTreatment of Obsessive-compulsive disorderTreatment of Panic disorderTreatment of Premenstrual dysphoric disorderTreatment of AnxietyTreatment of Premenstrual syndrome (PMS),Sertagress 25mg Tablet,As directed by physician,,Delayed ejaculation Erectile dysfunction Indigestion Insomnia difficulty in sleeping Low sexual desire Nausea Tremors Diarrhea Increased sweating Loss of appetite Sleepiness Taste change
Treatment of Fungal infections,Surfaz-O Tablet,As directed by physician,,Headache Nausea Stomach pain
Treatment of HypersensitivityTreatment of Inflammation of gumsTreatment of Dental cavities,Sentim-SF Toothpaste,As directed by physician,Taste change Gum Irritation,
Treatment of Acne,Saferet 20 Tablet,As directed by physician,,Dry skin Increased liver enzymes Rash
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of StrokePrevention of Migraine,Starcad-Beta 50 Tablet ER,As directed by physician,,Fatigue Slow heart rate Constipation Diarrhea Dizziness Cold extremities
 Hormone replacement therapy Female infertility,Strone AQ Injection,As directed by physician,,Headache Fatigue Joint pain Cough Abnormal menstrual bleeding Musculoskeletal bone muscle or joint pain Slurred speech Pain behind eyes Vertigo
Treatment of Female infertilityTreatment of Male hypogonadism,Sifasi 10000IU Injection,As directed by physician,,Injection site pain Headache Fatigue Depression Irritation Restlessness
Treatment of Fungal skin infections,Scalnex CT Lotion,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,Strocit Oral Drops,As directed by physician,,Decreased blood pressure Arrhythmia irregular heartbeats Stomach pain Diarrhea Insomnia difficulty in sleeping Rash Peripheral neuropathy tingling and numbness of feet and hand
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,S-Amlosafe 2.5 Tablet,As directed by physician,,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
 Asthma,Salbair-B Transhaler,As directed by physician,,Hoarseness of voice Headache Dizziness Pharyngitis Vomiting Bronchitis inflammation of the airways Dryness in mouth Cough Application site irritation Nausea Gastrointestinal motility disorder Thrush Throat irritation
Treatment of Hypertension (high blood pressure),Sartel AM 80 Tablet,As directed by physician,,Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
 Schizophrenia,Skizoril 50mg Tablet,As directed by physician,,Dizziness Fainting Constipation Fever Weight gain Decreased white blood cell count Extrapyramidal symptoms Increased liver enzymes Drowsiness Seizure Increased white blood cell count eosinophils Anticholinergic effects Tachycardia Excessive salivation
Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Sartel 80 Tablet,As directed by physician,,Upper respiratory tract infection Sinus infection Back pain Diarrhea
 Schizophrenia,Skizoril 25mg Tablet,As directed by physician,,Dizziness Fainting Constipation Fever Weight gain Decreased white blood cell count Extrapyramidal symptoms Increased liver enzymes Drowsiness Seizure Increased white blood cell count eosinophils Anticholinergic effects Tachycardia Excessive salivation
Treatment of Premature LaborTreatment of Peripheral vascular disease,Suprox Tablet,As directed by physician,,Dizziness Palpitations
 Schizophrenia,Soltus 200 Tablet,As directed by physician,,Nausea Vomiting Dryness in mouth Constipation Weight gain Decreased blood pressure Dystonia involuntary muscle contractions Akathisia inability to stay still Parkinsonism Increased prolactin level in blood
Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,Symbal 60 Tablet,As directed by physician,,Nausea Headache Dryness in mouth Sleepiness Dizziness
 Schizophrenia,Sulpitac 300 Tablet,As directed by physician,,Nausea Vomiting Dryness in mouth Constipation Weight gain Decreased blood pressure Dystonia involuntary muscle contractions Akathisia inability to stay still Parkinsonism Increased prolactin level in blood
Treatment of Allergic conditions,Sizon Forte Tablet,As directed by physician,,Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
Treatment of Fungal skin infections,Surfaz Topical Solution,As directed by physician,,Blisters Skin peeling Swelling Application site irritation
Treatment of Benign prostatic hyperplasia,Silotrif-D 8 Capsule Combipack,As directed by physician,,Ejaculation disorder Impotence Headache Dizziness Decreased libido Orthostatic hypotension sudden lowering of blood pressure on standing Nausea Abdominal pain Breast enlargement in male Breast tenderness in male
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,S-Amlosafe 5 Tablet,As directed by physician,,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
